Settled Transactions 01/01/2020 to 08/10/2026
Transaction Date	Description	Type	Units	Price	Total Amount
01/10/2025	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	1.248	$125.15	$156.25
01/10/2025	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.745	$209.64	$156.25
01/10/2025	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	1.09	$143.29	$156.25
01/10/2025	Schwab Small Cap Index	BUY INVESTMENTS	4.457	$35.06	$156.25
12/23/2024	Vanguard Mstar Growth Idx I	REINVESTED DIVIDEND	0.065	$216.58	$14.00
12/23/2024	Vanguard Extended Mkt Idx Inst	REINVESTED DIVIDEND	0.185	$145.58	$26.97
12/20/2024	Vanguard Total Intl Stk Idx I	REINVESTED DIVIDEND	1.042	$126.43	$131.79
12/19/2024	Vanguard Total Intl Stk Idx I	BUY INVESTMENTS	0.609	$128.51	$78.25
12/19/2024	Vanguard Mstar Growth Idx I	BUY INVESTMENTS	0.368	$212.58	$78.25
12/19/2024	Vanguard Extended Mkt Idx Inst	BUY INVESTMENTS	0.542	$144.47	$78.25
12/19/2024	Schwab Small Cap Index	BUY INVESTMENTS	2.201	$35.55	$78.25
